code,name,tossd_only,in_published_data
FA01,BLENDED FINANCE,True,True
FA02,ISLAMIC FINANCE,True,True
FA03,CO-FINANCING ARRANGEMENTS INVOLVING RECIPIENT COUNTERPART FUNDS,True,True
FA04,OFFICIALLY-SUPPORTED EXPORT CREDITS,True,True
FA05,SDR TRANSACTIONS,True,False
