code,name,tossd_only,in_published_data
FC01,SOUTH-SOUTH CO-OPERATION,True,True
FC02,TRIANGULAR CO-OPERATION,True,True
FC03,MULTILATERAL SUPPORT FOR SOUTH-SOUTH CO-OPERATION,True,True
