code,name,tossd_only,in_published_data
10000,Public Sector Institutions,False,True
11000,Provider Government,True,True
11001,Central Government,True,True
11002,Local Government,True,True
11003,Public corporations,True,True
11004,Other public entities in provider country,True,True
12000,Recipient Government,False,True
12001,Central Government (recipient govt.),False,True
12002,Local Government (recipient govt.),False,True
12003,Public corporations (recipient govt.),False,True
12004,Other public entities in recipient country,False,True
13000,Third Country Government (Delegated co-operation),False,True
20000,Non-Governmental Organisation (NGO) and Civil Society,False,True
21000,International NGO,False,True
21001,Association of Geoscientists for International Development ,False,True
21002,Agency for International Trade Information and Co-operation ,False,True
21003,Latin American Council for Social Sciences ,False,True
21004,Council for the Development of Economic and Social Research in Africa ,False,True
21005,Consumer Unity and Trust Society International ,False,True
21006,Development Gateway Foundation ,False,True
21007,Environmental Liaison Centre International ,False,False
21008,Eurostep ,False,False
21009,Forum for Agricultural Research in Africa ,False,True
21010,Forum for African Women Educationalists ,False,True
21011,Global Campaign for Education ,False,True
21013,Health Action International ,False,True
21014,Human Rights Information and Documentation Systems ,False,True
21015,International Catholic Rural Association ,False,True
21016,International Committee of the Red Cross ,False,True
21018,International Federation of Red Cross and Red Crescent Societies ,False,True
21019,International Federation of Settlements and Neighbourhood Centres ,False,False
21020,International HIV/AIDS Alliance ,False,True
21021,International Institute for Environment and Development ,False,True
21022,International Network for Alternative Financial Institutions ,False,True
21023,International Planned Parenthood Federation ,False,True
21024,"Inter Press Service, International Association ",False,False
21025,International Seismological Centre ,False,True
21026,International Service for Human Rights ,False,True
21027,ITF Enhancing Human Security,False,True
21028,International University Exchange Fund - IUEF Stip. in Africa and Latin America,False,False
21029,Doctors Without Borders,False,True
21030,Pan African Institute for Development,False,False
21031,PANOS Institute ,False,True
21032,Population Services International ,False,True
21033,Transparency International ,False,True
21034,International Union Against Tuberculosis and Lung Disease ,False,True
21035,World Organisation Against Torture ,False,True
21036,World University Service ,False,True
21037,Women's World Banking,False,True
21038,International Alert,False,True
21039,International Institute for Sustainable Development,False,True
21040,International Women's Tribune Centre,False,False
21041,Society for International Development,False,True
21042,International Peacebuilding Alliance,False,True
21043,European Parliamentarians for Africa,False,True
21044,International Council for the Control of Iodine Deficiency Disorders,False,False
21045,African Medical and Research Foundation ,False,True
21046,Agency for Cooperation and Research in Development ,False,True
21047,AgriCord,False,True
21048,Association of African Universities,False,True
21049,European Centre for Development Policy Management ,False,True
21050,Geneva Call,False,True
21051,Institut Supérieur Panafricaine d’Economie Coopérative,False,False
21053,"IPAS-Protecting Women’s Health, Advancing Women’s Reproductive Rights",False,True
21054,Life and Peace Institute,False,True
21055,Regional AIDS Training Network,False,False
21056,Renewable Energy and Energy Efficiency Partnership,False,True
21057,International Centre for Transitional Justice,False,True
21058,International Crisis Group,False,True
21059,Africa Solidarity Fund,False,False
21060,Association for the Prevention of Torture,False,True
21061,International Rehabilitation Council for Torture Victims,False,True
21062,The Nature Conservancy,False,True
21063,Conservation International,False,True
21064,"Clinton Health Access Initiative, Inc.",False,True
21501,OXFAM International,False,True
21502,World Vision,False,True
21503,Family Health International 360,False,True
21504,International Relief and Development,False,True
21505,Save the Children,False,True
21506,International Rescue Committee,False,True
21507,Pact World,False,True
21508,Sustainable Energy for All,False,True
21509,AmplifyChange,False,True
22000,Provider country-based NGO,True,True
22501,OXFAM - provider country office,False,True
22502,Save the Children - donor country office,False,True
23000,Developing country-based NGO,False,True
23501,National Red Cross and Red Crescent Societies,False,True
30000,Public-Private Partnerships (PPP) and Networks,False,True
30001,Global Alliance for Improved Nutrition ,False,True
30003,Global e-Schools and Communities Initiative ,False,False
30004,Global Water Partnership ,False,True
30005,International AIDS Vaccine Initiative ,False,True
30006,International Partnership on Microbicides ,False,True
30007,Global Alliance for ICT and Development,False,False
30008,Cities Alliance,False,True
30009,Small Arms Survey,False,True
30010,International drug purchase facility,True,True
30011,International Union for the Conservation of Nature,False,True
30012,Global Climate Partnership Fund,False,True
30013,Microfinance Enhancement Facility,False,True
30014,"Regional Micro, Small and Medium Enterprise Investment Fund for Sub-Saharan Africa",False,True
30015,Global Energy Efficiency and Renewable Energy Fund,False,False
30016,European Fund for Southeast Europe,False,True
30017,"SANAD Fund for Micro, Small and Medium Enterprises",False,True
30018,Africa Finance Corporation,False,True
30019,Currency Exchange Fund N.V.,False,True
30020,Global Energy Efficiency and Renewable Energy Fund II,False,False
31000,Public-Private Partnerships (PPP),False,True
31001,Global Development Network,False,True
31002,Global Knowledge Partnership,False,True
31003,International Land Coalition,False,True
31004,Extractive Industries Transparency Initiative International Secretariat,False,True
31005,Parliamentary Network on the World Bank,False,False
31006,Coalition for Epidemic Preparedness Innovations,False,True
31007,Drugs for Neglected Diseases initative,False,True
31008,Foundation for Innovative New Diagnostics,False,True
32000,Networks,False,True
40000,Multilateral Organisations,False,True
41000,"United Nations (UN) agency, fund or commission",False,True
41100,UN entities (core contributions reportable in full),False,True
