recipient_code,ldc_group,income_group,region
251,Least Developed Countries,Low income,South of Sahara
252,Least Developed Countries,Low income,South of Sahara
253,Least Developed Countries,Low income,South of Sahara
255,Least Developed Countries,Low income,South of Sahara
256,Least Developed Countries,Lower middle income,South of Sahara
257,Other Developing Countries,Upper middle income,South of Sahara
259,Least Developed Countries,Low income,South of Sahara
260,Least Developed Countries,Low income,South of Sahara
261,Other Developing Countries,Lower middle income,South of Sahara
265,Other Developing Countries,Lower middle income,South of Sahara
266,Least Developed Countries,Low income,South of Sahara
268,Other Developing Countries,Lower middle income,South of Sahara
269,Least Developed Countries,Lower middle income,South of Sahara
270,Other Developing Countries,High income,South of Sahara
271,Least Developed Countries,Low income,South of Sahara
272,Least Developed Countries,Low income,South of Sahara
273,Least Developed Countries,Low income,South of Sahara
274,Least Developed Countries,Lower middle income,South of Sahara
275,Other Developing Countries,Lower middle income,South of Sahara
276,Other Developing Countries,Unclassified,South of Sahara
278,Least Developed Countries,Low income,South of Sahara
279,Least Developed Countries,Low income,South of Sahara
280,Other Developing Countries,Lower middle income,South of Sahara
282,Least Developed Countries,Lower middle income,South of Sahara
283,Least Developed Countries,Lower middle income,South of Sahara
285,Least Developed Countries,Low income,South of Sahara
287,Least Developed Countries,Low income,South of Sahara
288,Least Developed Countries,Lower middle income,South of Sahara
289,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,South of Sahara
298,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,Africa
328,Other Developing Countries,High income,Caribbean & Central America
329,Other Developing Countries,High income,Caribbean & Central America
336,Other Developing Countries,High income,Caribbean & Central America
338,Other Developing Countries,Upper middle income,Caribbean & Central America
340,Other Developing Countries,Upper middle income,Caribbean & Central America
342,Other Developing Countries,Upper middle income,Caribbean & Central America
347,Other Developing Countries,Upper middle income,Caribbean & Central America
349,Least Developed Countries,Lower middle income,Caribbean & Central America
351,Other Developing Countries,Lower middle income,Caribbean & Central America
352,Other Developing Countries,Upper middle income,Caribbean & Central America
354,Other Developing Countries,Upper middle income,Caribbean & Central America
358,Other Developing Countries,Upper middle income,Caribbean & Central America
364,Other Developing Countries,Lower middle income,Caribbean & Central America
